Epoch,Train Loss,Validation Loss,Validation Accuracy,Validation MAE
1,16.5734,11.8146,49.48%,0.0129
2,12.0380,11.8126,49.48%,0.0129
3,12.0388,11.8125,49.48%,0.0129
4,12.0391,11.8130,49.48%,0.0129
5,12.0395,11.8209,49.48%,0.0129
6,12.0386,11.8129,49.48%,0.0129
7,12.0417,11.8173,49.48%,0.0129
8,12.0370,11.8321,49.48%,0.0129
9,12.0391,11.8136,49.48%,0.0129
10,12.0360,11.8308,49.48%,0.0129
11,12.0386,11.8144,49.48%,0.0129
12,12.0365,11.8152,49.48%,0.0129
13,12.0394,11.8133,49.44%,0.0129
14,9.0444,4.4931,87.00%,0.0064
15,3.7189,3.9511,88.76%,0.0058
16,2.3390,3.8964,88.48%,0.0058
17,1.7470,4.0775,87.72%,0.0058
18,1.4581,4.1392,87.96%,0.0058
19,1.3545,4.3222,87.48%,0.0059
20,1.2174,4.3725,86.68%,0.0060
21,1.0904,4.3248,86.96%,0.0059
22,1.0010,4.3323,87.24%,0.0059
23,0.9232,4.5050,86.44%,0.0060
24,0.8393,4.5774,86.12%,0.0061
25,0.8094,4.5005,87.08%,0.0060
26,0.8019,4.6305,86.04%,0.0060
27,0.7846,4.5404,86.24%,0.0061
28,0.7231,4.7819,86.36%,0.0061
29,0.6435,4.7182,85.72%,0.0061
30,0.6144,4.9235,85.32%,0.0062
31,0.6266,4.8745,85.72%,0.0062
32,0.6108,4.9468,85.52%,0.0062
33,0.5461,4.8920,85.52%,0.0062
34,0.5197,5.0245,85.44%,0.0063
35,0.5106,5.0591,85.44%,0.0063
36,0.4742,4.9149,85.96%,0.0062
37,0.4597,4.9953,85.08%,0.0063
38,0.4739,4.8093,85.40%,0.0062
39,0.4599,4.8654,85.52%,0.0062
40,0.4309,5.0720,84.96%,0.0063
41,0.4026,5.2514,84.68%,0.0063
42,0.3862,4.9844,85.76%,0.0062
43,0.4013,4.9651,85.88%,0.0062
44,0.4267,5.3179,85.84%,0.0063
45,0.4432,4.9905,86.20%,0.0061
46,0.3857,5.0412,85.68%,0.0062
47,0.3391,5.0686,84.92%,0.0063
48,0.3290,5.2953,85.56%,0.0063
49,0.3467,5.2139,85.68%,0.0063
50,0.3300,4.9247,86.32%,0.0062
