Epoch,Train Loss,Validation Loss,Validation Accuracy
0,2.0262,1.7224,51.97%
1,1.5384,1.4122,63.05%
2,1.3580,1.3274,65.12%
3,1.3041,1.2955,66.83%
4,1.2777,1.2700,67.78%
5,1.2557,1.2533,68.92%
6,1.2332,1.2325,69.42%
7,1.2152,1.2132,70.18%
8,1.2085,1.2013,70.68%
9,1.1909,1.1936,73.05%
10,1.1871,1.2101,68.67%
11,1.1824,1.1833,71.03%
12,1.1713,1.1710,72.38%
13,1.1685,1.1633,75.87%
14,1.1633,1.1705,76.73%
15,1.1548,1.1492,77.82%
16,1.1484,1.1394,78.73%
17,1.1365,1.1356,79.60%
18,1.1286,1.1250,80.65%
19,1.1238,1.1289,80.43%
20,1.1194,1.1203,79.70%
21,1.1218,1.1190,80.33%
22,1.1077,1.1078,81.17%
23,1.0978,1.1107,80.67%
24,1.0953,1.1004,81.37%
25,1.0908,1.0930,81.28%
26,1.0881,1.0900,81.60%
27,1.0875,1.0934,82.18%
28,1.1100,1.0924,81.38%
29,1.0884,1.0893,81.52%
30,1.0790,1.0810,82.08%
31,1.0780,1.0802,81.97%
32,1.0770,1.0872,81.20%
33,1.0737,1.0798,81.52%
34,1.0740,1.0845,80.87%
35,1.0714,1.0741,81.48%
36,1.0651,1.0661,82.00%
37,1.0656,1.0621,82.17%
38,1.0611,1.0619,81.95%
39,1.0659,1.0657,82.25%
40,1.0631,1.0689,81.67%
41,1.0669,1.0680,82.33%
42,1.0607,1.0615,82.72%
43,1.0571,1.0534,82.63%
44,1.0567,1.0740,81.58%
45,1.0550,1.0543,82.85%
46,1.0894,1.0715,81.83%
47,1.0663,1.0560,82.62%
48,1.1045,1.0678,83.13%
49,1.0632,1.0669,81.45%
