Epoch,Train Loss,Validation Loss,Validation Accuracy
0,1.0018,0.3514,90.60%
1,0.2526,0.1781,95.45%
2,0.1595,0.1484,96.05%
3,0.1243,0.1157,97.07%
4,0.1006,0.0983,97.37%
5,0.0868,0.0886,97.57%
6,0.0756,0.0712,98.15%
7,0.0656,0.0725,98.15%
8,0.0618,0.0665,98.15%
9,0.0572,0.0660,98.27%
10,0.0536,0.0699,97.97%
11,0.0529,0.0627,98.25%
12,0.0461,0.0630,98.10%
13,0.0454,0.0624,98.23%
14,0.0447,0.0634,98.18%
15,0.0410,0.0533,98.47%
16,0.0386,0.0559,98.50%
17,0.0363,0.0519,98.37%
18,0.0359,0.0605,98.30%
19,0.0337,0.0447,98.72%
20,0.0334,0.0509,98.58%
21,0.0329,0.0530,98.43%
22,0.0335,0.0431,98.68%
23,0.0290,0.0471,98.72%
24,0.0308,0.0433,98.62%
25,0.0268,0.0428,98.80%
26,0.0288,0.0479,98.58%
27,0.0291,0.0557,98.38%
28,0.0284,0.0457,98.67%
29,0.0261,0.0440,98.70%
30,0.0278,0.0438,98.62%
31,0.0228,0.0417,98.73%
32,0.0242,0.0470,98.63%
33,0.0233,0.0441,98.77%
34,0.0233,0.0418,98.85%
35,0.0218,0.0451,98.62%
36,0.0222,0.0412,98.87%
37,0.0229,0.0424,98.72%
38,0.0210,0.0456,98.70%
39,0.0225,0.0431,98.80%
40,0.0199,0.0554,98.38%
41,0.0198,0.0410,98.77%
42,0.0199,0.0421,98.87%
43,0.0203,0.0388,98.82%
44,0.0186,0.0440,98.80%
45,0.0200,0.0407,98.90%
46,0.0179,0.0478,98.62%
47,0.0202,0.0400,98.78%
48,0.0216,0.0485,98.70%
49,0.0201,0.0414,98.92%
