Epoch,Train Loss,Validation Loss,Validation Accuracy,Validation MAE
1,23.4106,12.7704,49.56%,0.0133
2,12.1878,12.3819,50.44%,0.0133
3,12.0188,12.4372,50.44%,0.0133
4,12.0622,12.6298,50.32%,0.0133
5,11.9878,13.8992,49.56%,0.0133
6,12.0279,12.3912,50.44%,0.0133
7,11.9818,12.3589,50.44%,0.0133
8,12.0077,12.3744,50.44%,0.0133
9,12.0869,12.4750,50.44%,0.0133
10,12.0005,12.3564,50.44%,0.0133
11,11.9975,12.3724,50.44%,0.0133
12,12.0739,12.7132,49.56%,0.0133
13,12.0014,12.3556,50.44%,0.0133
14,11.9819,12.3550,50.44%,0.0133
15,11.9817,12.3696,50.44%,0.0133
16,11.9855,12.3634,50.44%,0.0133
17,11.9814,12.3652,50.44%,0.0133
18,11.9829,12.3549,50.44%,0.0133
19,12.0625,12.3541,50.44%,0.0133
20,11.9976,12.3689,50.44%,0.0133
21,11.9837,12.3566,50.44%,0.0133
22,11.9817,12.3539,50.44%,0.0133
23,11.9824,12.3567,50.44%,0.0133
24,12.2007,12.3876,50.44%,0.0133
25,11.9841,12.3546,50.44%,0.0133
26,11.9809,12.3608,50.44%,0.0133
27,11.9846,12.3734,50.44%,0.0133
28,11.9838,12.3547,50.44%,0.0133
29,11.9842,12.3864,50.44%,0.0133
30,11.9813,12.3569,50.44%,0.0133
31,11.9829,12.3538,50.44%,0.0133
32,11.9860,12.3703,50.44%,0.0133
33,11.9874,12.3542,50.44%,0.0133
34,12.0937,12.3545,50.44%,0.0133
35,11.9844,12.3738,50.52%,0.0133
36,11.9882,12.3642,50.44%,0.0133
37,11.9811,12.3556,50.44%,0.0133
38,11.9844,12.3549,50.44%,0.0133
39,11.9843,12.3599,50.44%,0.0133
40,11.9805,12.3553,50.44%,0.0133
41,11.9823,12.3574,50.44%,0.0133
42,11.9862,12.3666,50.44%,0.0133
43,11.9821,12.3758,50.44%,0.0133
44,11.9874,12.3548,50.44%,0.0133
45,11.9839,12.3541,50.44%,0.0133
46,11.9836,12.3706,50.44%,0.0133
47,11.9836,12.3691,50.44%,0.0133
48,11.9858,12.3549,50.44%,0.0133
49,11.9883,12.3541,50.44%,0.0133
50,11.9833,12.3530,50.44%,0.0133
