Epoch,Train Loss,Validation Loss,Validation Accuracy,Validation MAE
1,17.5152,11.8155,49.48%,0.0129
2,12.0394,11.8134,49.48%,0.0129
3,12.0393,11.8125,49.48%,0.0129
4,12.0387,11.8128,49.48%,0.0129
5,12.0404,11.8133,49.48%,0.0129
6,12.0410,11.8129,49.48%,0.0129
7,12.0404,11.8124,49.48%,0.0129
8,12.0399,11.8193,49.48%,0.0129
9,12.0399,11.8174,49.48%,0.0129
10,12.0381,11.8115,49.48%,0.0129
11,12.0384,11.8108,49.48%,0.0129
12,12.0378,11.7992,49.48%,0.0129
13,12.0394,11.8248,49.48%,0.0129
14,12.0515,11.8126,49.48%,0.0129
15,12.0388,11.8164,49.48%,0.0129
16,12.0320,11.7924,49.48%,0.0129
17,11.2094,8.0360,76.36%,0.0093
18,6.8650,5.7295,83.72%,0.0071
19,4.3244,4.7856,86.56%,0.0065
20,2.8993,4.1701,87.72%,0.0060
21,2.1464,4.3649,87.48%,0.0060
22,1.7842,4.3519,87.76%,0.0060
23,1.5219,4.4701,87.48%,0.0060
24,1.3661,4.6781,87.08%,0.0061
25,1.2613,4.6067,87.24%,0.0061
26,1.1458,4.6425,87.24%,0.0061
27,1.0294,4.8288,86.84%,0.0061
28,0.9078,4.9514,86.48%,0.0061
29,0.8123,4.8914,86.52%,0.0060
30,0.7345,4.7000,86.56%,0.0060
31,0.6712,5.0076,86.20%,0.0060
32,0.6194,4.7902,86.56%,0.0060
33,0.6195,4.9356,86.60%,0.0059
34,0.5614,5.0437,86.04%,0.0060
35,0.4978,5.0910,86.36%,0.0060
36,0.4249,5.2423,86.44%,0.0060
37,0.4270,5.2525,86.80%,0.0060
38,0.4397,5.5689,85.56%,0.0062
39,0.4506,5.1644,86.40%,0.0061
40,0.4468,5.3132,86.52%,0.0061
41,0.4017,5.0633,86.72%,0.0060
42,0.3666,5.1058,87.44%,0.0060
43,0.3561,5.2524,86.44%,0.0061
44,0.3094,5.3720,86.56%,0.0061
45,0.2919,5.2283,86.72%,0.0060
46,0.2521,5.3034,86.56%,0.0061
47,0.2359,5.2342,86.72%,0.0060
48,0.2322,5.4471,86.84%,0.0061
49,0.2567,5.3673,86.72%,0.0062
50,0.4170,5.4565,86.80%,0.0061
