Epoch,Train Loss,Validation Loss,Validation Accuracy
0,1.8421,1.5181,62.35%
1,1.4210,1.3547,68.98%
2,1.3070,1.2691,71.98%
3,1.2405,1.2217,75.40%
4,1.2068,1.1945,77.78%
5,1.1808,1.1683,80.43%
6,1.1557,1.1447,82.18%
7,1.1338,1.1291,83.95%
8,1.1159,1.1099,85.13%
9,1.0975,1.1000,85.90%
10,1.0854,1.0769,86.85%
11,1.0735,1.0689,87.38%
12,1.0653,1.0585,87.82%
13,1.0547,1.0486,88.68%
14,1.0497,1.0447,88.87%
15,1.0407,1.0380,89.30%
16,1.0347,1.0354,89.72%
17,1.0327,1.0322,89.77%
18,1.0314,1.0349,89.47%
19,1.0238,1.0304,90.28%
20,1.0221,1.0239,90.63%
21,1.0165,1.0168,90.85%
22,1.0209,1.0157,90.83%
23,1.0141,1.0329,89.85%
24,1.0130,1.0138,90.75%
25,1.0113,1.0188,90.92%
26,1.0065,1.0122,90.80%
27,1.0036,1.0091,90.87%
28,1.0027,1.0084,91.33%
29,1.0015,1.0015,91.53%
30,1.0040,1.0109,90.55%
31,1.0010,1.0095,91.30%
32,0.9990,1.0064,90.93%
33,1.0044,0.9987,92.07%
34,0.9948,1.0054,90.88%
35,0.9921,0.9960,91.65%
36,0.9908,0.9985,91.27%
37,0.9925,0.9998,91.43%
38,1.0300,0.9973,91.95%
39,0.9972,0.9963,91.80%
40,0.9900,0.9938,92.12%
41,0.9878,0.9909,92.20%
42,0.9872,1.0008,91.32%
43,0.9854,0.9892,92.22%
44,0.9843,0.9875,92.30%
45,0.9867,0.9917,92.02%
46,0.9887,1.0132,90.15%
47,0.9882,0.9902,91.68%
48,0.9810,0.9855,92.25%
49,0.9839,0.9837,92.23%
50,0.9806,0.9829,92.10%
51,0.9819,0.9788,92.33%
52,0.9796,0.9854,92.03%
53,0.9787,0.9781,92.67%
54,0.9885,0.9867,92.18%
55,0.9872,0.9800,92.27%
56,0.9813,0.9776,92.47%
57,0.9752,0.9936,91.72%
58,0.9761,1.0324,88.80%
59,0.9805,0.9778,92.28%
60,0.9760,0.9808,92.05%
61,0.9776,0.9778,92.02%
62,0.9738,0.9799,92.45%
63,0.9750,0.9824,92.18%
64,0.9748,0.9779,91.97%
65,1.0599,0.9980,91.28%
66,0.9836,0.9845,92.00%
67,0.9743,0.9798,92.42%
68,0.9856,0.9903,91.55%
69,0.9783,0.9887,91.55%
70,0.9822,0.9887,91.95%
71,0.9754,0.9819,92.18%
72,0.9737,0.9858,92.08%
73,0.9705,0.9746,92.52%
74,0.9826,0.9817,92.15%
75,0.9787,0.9769,92.07%
76,0.9839,1.0102,90.53%
77,0.9764,0.9753,92.40%
78,0.9655,0.9726,92.52%
79,0.9703,0.9752,92.48%
