Epoch,Train Loss,Validation Loss,Validation Accuracy
0,1.2547,0.4832,86.53%
1,0.3495,0.2785,92.03%
2,0.2326,0.1911,94.70%
3,0.1758,0.1464,95.90%
4,0.1441,0.1260,96.42%
5,0.1200,0.1060,97.02%
6,0.0998,0.0983,97.18%
7,0.0840,0.0901,97.50%
8,0.0799,0.0864,97.57%
9,0.0724,0.0769,97.97%
10,0.0702,0.0815,97.67%
11,0.0655,0.0784,97.88%
12,0.0572,0.0762,98.02%
13,0.0568,0.0635,98.38%
14,0.0519,0.0703,98.08%
15,0.0543,0.0768,97.80%
16,0.0506,0.0615,98.37%
17,0.0481,0.0660,98.23%
18,0.0458,0.0805,97.68%
19,0.0444,0.0720,97.83%
20,0.0456,0.0639,98.25%
21,0.0407,0.0576,98.33%
22,0.0404,0.0658,98.08%
23,0.0384,0.0596,98.15%
24,0.0383,0.0811,97.77%
25,0.0386,0.0639,98.17%
26,0.0386,0.0505,98.67%
27,0.0335,0.0637,98.18%
28,0.0384,0.0680,98.07%
29,0.0337,0.0639,98.17%
30,0.0324,0.0653,98.08%
31,0.0321,0.0580,98.35%
32,0.0326,0.0539,98.52%
33,0.0312,0.0516,98.48%
34,0.0305,0.0588,98.32%
35,0.0320,0.0653,98.17%
36,0.0304,0.0731,98.07%
37,0.0291,0.0525,98.50%
38,0.0279,0.0573,98.35%
39,0.0267,0.0642,98.15%
40,0.0303,0.0622,98.25%
41,0.0266,0.0563,98.35%
42,0.0301,0.0599,98.35%
43,0.0306,0.0660,98.02%
44,0.0268,0.0542,98.53%
45,0.0267,0.0546,98.48%
46,0.0229,0.0603,98.48%
47,0.0279,0.0591,98.33%
48,0.0260,0.0539,98.55%
49,0.0245,0.0608,98.23%
