Epoch,Train Loss,Validation Loss,Validation Accuracy,Validation MAE
1,24.2167,13.3602,50.04%,3.2765
2,12.2682,12.1070,49.96%,3.2775
3,12.0073,12.1102,49.88%,3.2787
4,12.0067,12.1102,49.80%,3.2787
5,12.0068,12.1073,49.88%,3.2782
6,12.0061,12.1049,49.92%,3.2780
7,12.0068,12.1063,49.88%,3.2782
8,12.0051,12.1076,49.96%,3.2778
9,12.0075,12.1071,49.92%,3.2782
10,12.0060,12.1079,49.88%,3.2784
11,12.0052,12.1104,49.80%,3.2786
12,12.0072,12.1159,49.80%,3.2794
13,12.0073,12.1054,49.88%,3.2781
14,12.0062,12.1129,49.88%,3.2783
15,12.0070,12.1071,49.88%,3.2784
16,12.0063,12.1092,49.80%,3.2785
17,12.0105,12.1110,49.80%,3.2788
18,12.0052,12.1214,49.80%,3.2797
19,12.0075,12.1049,49.88%,3.2781
20,12.0066,12.1158,49.80%,3.2785
21,12.0070,12.1062,49.88%,3.2783
22,12.0068,12.1108,49.80%,3.2788
23,12.0059,12.1219,49.84%,3.2779
24,12.0063,12.1303,49.80%,3.2780
25,12.0108,12.1062,49.88%,3.2783
26,12.0085,12.1103,49.80%,3.2786
27,12.0090,12.1119,49.80%,3.2788
28,12.0092,12.1083,49.80%,3.2783
29,12.0122,12.1127,49.80%,3.2787
30,12.0074,12.1064,49.88%,3.2783
31,12.0080,12.1147,49.80%,3.2788
32,12.0064,12.1171,49.80%,3.2795
33,12.0093,12.1174,49.80%,3.2788
34,12.0042,12.1099,49.80%,3.2784
35,12.0083,12.1322,49.76%,3.2793
36,12.0085,12.1098,49.80%,3.2786
37,12.0072,12.1165,49.80%,3.2788
38,12.0070,12.1258,49.80%,3.2794
39,12.0081,12.1245,49.80%,3.2790
40,12.0100,12.1189,49.80%,3.2791
41,12.0094,12.1575,49.76%,3.2791
42,12.0218,12.1271,49.80%,3.2794
43,12.0052,12.1228,49.80%,3.2793
44,12.0091,12.1070,49.88%,3.2781
45,12.0114,12.1203,49.80%,3.2794
46,12.0068,12.1231,49.72%,3.2797
47,12.0132,12.1325,49.76%,3.2795
48,12.0146,12.1177,49.80%,3.2795
49,12.0067,12.1153,49.80%,3.2790
50,12.0106,12.1152,49.80%,3.2792
