Epoch,Train Loss,Validation Loss,Validation Accuracy,Validation MAE
1,16.5997,12.1016,49.96%,3.2772
2,12.0077,12.1015,49.96%,3.2771
3,12.0110,12.0995,49.96%,3.2771
4,12.0080,12.1016,49.96%,3.2770
5,12.0095,12.0988,49.96%,3.2769
6,12.0097,12.1056,49.96%,3.2766
7,11.9921,12.0458,50.12%,3.2677
8,11.6408,10.7203,64.52%,2.9082
9,9.6287,11.0344,65.20%,2.8184
10,7.8240,8.1425,76.52%,2.3016
11,6.0601,7.9837,76.88%,2.1794
12,4.9335,7.9736,77.68%,2.1470
13,4.5313,8.2598,76.72%,2.1245
14,4.0811,8.4308,76.44%,2.1506
15,3.9435,9.5118,71.28%,2.4236
16,3.8748,8.4149,75.64%,2.2003
17,3.0912,8.6386,75.56%,2.1628
18,2.8598,8.8022,76.32%,2.1468
19,2.6386,9.0650,75.32%,2.1943
20,2.3487,9.0020,75.68%,2.1621
21,2.9759,9.2388,75.08%,2.1986
22,3.3007,9.8155,71.72%,2.3665
23,3.3399,9.4482,75.16%,2.2518
24,2.2676,9.3383,75.40%,2.2160
25,1.9957,9.5130,75.72%,2.2056
26,1.8255,9.6761,75.84%,2.2269
27,1.7192,9.8521,74.36%,2.2630
28,1.6128,9.8607,74.84%,2.2460
29,1.5898,10.0126,74.52%,2.2742
30,1.5376,9.8380,75.52%,2.2322
31,1.5044,10.0647,74.24%,2.2709
32,1.9337,9.8722,74.20%,2.2699
33,1.7098,9.8081,74.96%,2.2448
34,1.6364,9.8678,74.52%,2.2624
35,3.1021,9.9219,66.68%,2.5959
36,5.5497,8.8722,74.84%,2.2401
37,3.6335,9.2219,74.92%,2.2352
38,2.5013,9.0073,75.40%,2.1866
39,3.0498,9.5227,74.88%,2.2304
40,2.5602,9.4615,74.80%,2.2343
41,2.0198,9.2122,75.92%,2.1839
42,1.7030,9.5392,75.72%,2.2004
43,1.5249,9.6275,75.60%,2.2049
44,1.4913,9.6969,75.44%,2.2278
45,1.3448,9.6920,75.20%,2.2321
46,1.2733,9.6731,75.44%,2.2255
47,1.1976,9.7724,75.24%,2.2237
48,1.1736,10.0079,75.52%,2.2487
49,1.1847,9.8732,75.28%,2.2478
50,2.6478,10.1665,73.12%,2.3628
