Epoch,Train Loss,Validation Loss,Validation Accuracy
0,2.1374,1.9815,20.43%
1,1.9286,1.8816,21.78%
2,1.7961,1.7445,30.98%
3,1.7083,1.6977,33.68%
4,1.6719,1.6715,39.63%
5,1.6491,1.6489,40.45%
6,1.6348,1.6403,39.85%
7,1.6234,1.6313,40.70%
8,1.6134,1.6188,39.42%
9,1.6069,1.6116,39.12%
10,1.6005,1.6079,38.77%
11,1.5956,1.6054,38.37%
12,1.5920,1.5965,38.67%
13,1.5865,1.5928,38.40%
14,1.5829,1.5890,38.62%
15,1.5802,1.5995,38.45%
16,1.5751,1.5795,38.82%
17,1.5712,1.5744,38.57%
18,1.5676,1.5703,38.72%
19,1.5629,1.5710,37.98%
20,1.5589,1.5624,38.68%
21,1.5541,1.5541,39.48%
22,1.5559,1.5486,40.02%
23,1.5444,1.5506,37.37%
24,1.5399,1.5491,37.65%
25,1.5364,1.5526,36.52%
26,1.5351,1.5356,40.12%
27,1.5302,1.5327,38.17%
28,1.5264,1.5284,38.33%
29,1.5251,1.5297,37.15%
30,1.5225,1.5265,38.78%
31,1.5220,1.5331,37.58%
32,1.5179,1.5189,38.35%
33,1.5198,1.5306,36.90%
34,1.5228,1.5188,37.45%
35,1.5145,1.5444,36.68%
36,1.5099,1.5143,37.03%
37,1.5144,1.5126,37.97%
38,1.5096,1.5079,38.20%
39,1.5420,1.5177,42.65%
40,1.5127,1.5216,42.33%
41,1.5060,1.5102,44.40%
42,1.5038,1.5073,44.33%
43,1.5057,1.5081,43.52%
44,1.5024,1.5019,41.52%
45,1.5012,1.5047,40.08%
46,1.4987,1.5019,41.05%
47,1.5008,1.5015,41.07%
48,1.4968,1.4988,41.27%
49,1.4975,1.5118,40.55%
