Epoch,Train Loss,Validation Loss,Validation Accuracy
0,1.2771,0.8070,72.40%
1,0.5619,0.4710,83.82%
2,0.4035,0.3444,90.35%
3,0.3009,0.2801,92.22%
4,0.2482,0.2950,91.20%
5,0.1970,0.2093,93.98%
6,0.1785,0.1709,94.97%
7,0.1662,0.1476,95.82%
8,0.1505,0.1539,95.72%
9,0.1425,0.1662,94.98%
10,0.1371,0.1443,95.87%
11,0.1229,0.1286,96.33%
12,0.1258,0.1143,96.88%
13,0.1153,0.1176,96.60%
14,0.1133,0.1193,96.67%
15,0.1094,0.1247,96.53%
16,0.1092,0.1116,96.75%
17,0.1036,0.1268,96.47%
18,0.1005,0.1062,96.92%
19,0.1000,0.1136,96.92%
20,0.0959,0.0938,97.07%
21,0.0891,0.0983,97.07%
22,0.0876,0.0915,97.35%
23,0.0903,0.0967,97.10%
24,0.0893,0.0867,97.67%
25,0.0847,0.0985,97.13%
26,0.0848,0.0952,97.00%
27,0.0778,0.0909,97.45%
28,0.0781,0.1052,97.02%
29,0.0818,0.0970,97.20%
30,0.0824,0.0950,97.32%
31,0.0776,0.0917,97.45%
32,0.0786,0.1070,96.90%
33,0.0794,0.0796,97.77%
34,0.0698,0.0941,97.35%
35,0.0727,0.0810,97.65%
36,0.0748,0.1006,96.98%
37,0.0711,0.0888,97.38%
38,0.0715,0.0921,97.25%
39,0.0700,0.0837,97.73%
40,0.0726,0.0883,97.60%
41,0.0674,0.0903,97.47%
42,0.0784,0.0864,97.63%
43,0.0679,0.0830,97.73%
44,0.0662,0.0697,97.87%
45,0.0707,0.0993,97.32%
46,0.0716,0.0761,97.80%
47,0.0682,0.0857,97.52%
48,0.0659,0.0911,97.13%
49,0.0693,0.0843,97.58%
